신문사,제목,본문_요약,링크,카테고리,예측점수,최종선택여부
중앙일보,"‘차이나’는 가격 경쟁력…중국산 전기차, 국내 시장 흔든다","━전기차 격전지 된 한국내년 국내 전기차 시장에서 수입차와 국산차 간 경쟁 구도가 한층 치열해질 전망이다. 감독형 자율주행(FSD)을 앞세운 테슬라의 판매가 꾸준히 증가하고 있는 가운데, 내수 한계에 직면한 중국 완성차 업체들이 한국을 포함한 해외 시장으로 물량을 쏟아내고 있어서다.14일 완성차 업계에 따르면 지난 11월 중국 승용차 소매 판매는 222만5000대로 전년 대비 8.1% 감소했다. 친환경차 판매는 증가세를 이어가고 있지만 성장 속도는 눈에 띄게 둔화됐다. 지난해 11월 약 19%에 달했던 친환경차 판매 증가율은 올해 11월 4%대 초반까지 떨어졌다. 연말 수요와 보조금 효과에도 불구하고 소비 회복이 기대에 못 미치면서 내수 둔화가 구조화되고 있다는 평가다.반면 수출은 급증하고 있다. 11월 중...",https://n.news.naver.com/article/newspaper/025/0003489732?date=20251215,업계,0.943690602,1
조선일보,"“AI 훈풍에 반도체·디스플레이 ‘맑음’, 석화·철강은 ‘흐림’”… 내년 주요 산업 기상도는","2026년 한국 산업 기상도는 반도체·디스플레이는 ‘맑음’, 배터리·바이오·자동차·조선 산업은 ‘대체로 맑음’, 석유화학·철강은 ‘흐림’이라는 전망이 나왔다.대한상공회의소는 최근 11개 주요 업종별 협회와 함께 분석한 ‘2026년 산업 기상도’ 조사를 14일 발표하고 이같이 밝혔다. 산업 기상도는 맑음(매우 좋음), 대체로 맑음(좋음), 흐림(어려움), 비(매우 어려움) 4단계로 표현된다.반도체 산업은 내년 수출이 올해보다 9.1% 성장(1800억달러)할 것으로 분석됐다. 글로벌 빅테크가 AI 인프라 구축 경쟁에 나서면서 HBM(고대역폭 메모리) 등 고부가가치 반도체 수요가 늘 것으로 전망됐다. 디스플레이도 AI발 전자기기 사양 상향 평준화와 함께 고효율 OLED 패널 수요가 증가하면서 내년 수출이 올해 대...",https://n.news.naver.com/article/newspaper/023/0003946817?date=20251215,업계,0.928954368,1
동아일보,"반도체-디스플레이 ‘맑음’, 기계-석유화학-철강 ‘흐림’","대한상의, 내년 업종별 기상도배터리-바이오는 ‘대체로 맑음’2026년 국내 산업계에서는 인공지능(AI) 확산을 뒷받침하는 반도체 전망이 좋은 반면 중국과 경쟁하며 미국 관세의 영향을 받는 철강 기계 전망은 나쁜 것으로 조사됐다.14일 대한상공회의소는 11개 주요 업종별 협회와 함께 분석한 ‘2026 산업 기상도’를 발표했다. 조사에 따르면 반도체와 디스플레이 산업은 ‘맑음’, 배터리와 바이오, 자동차, 조선, 섬유패션 산업은 ‘대체로 맑음’으로 전망됐다. 기계와 석유화학, 철강, 건설 산업의 전망은 ‘흐림’으로 예상된다.대한상의는 올해 반도체 수출이 16.3% 성장하는 데 이어 2026년에도 9.1% 성장할 것으로 내다봤다. 글로벌 빅테크의 AI 인프라 구축 경쟁으로 고대역폭메모리(HBM) 등 고성능 반도체...",https://n.news.naver.com/article/newspaper/020/0003681682?date=20251215,업계,0.867370527,1
매일경제,"""저가 건기식 때문에""… 정관장 해외매출 역성장","中 등서 값싼 건기식 늘어나상대적으로 비싼 정관장 영향""B2B 등 공략해 수익 높일 것""홍삼 기반 건강기능식품 정관장이 주력인 KGC인삼공사가 올해 처음 해외 매출이 역성장할 전망이다. 중저가의 로컬 건강기능식품들이 크게 늘어나면서 상대적으로 고가인 정관장의 판매에도 영향을 미치고 있다는 분석이 나온다. 인삼공사는 현지 수요에 맞춰 상품을 다양화하고 원료를 바탕으로 기업 간 거래(B2B)도 확대해 수익을 높이겠다는 전략이다.14일 업계에 따르면 인삼공사의 해외법인 매출액은 2020년 1464억원에서 2143억원(2022년), 3141억원(2024년) 등으로 해마다 늘어났다. 올해는 수익성은 개선됐지만 처음 역성장해 3000억원 안팎에 그칠 전망이다. 이 회사의 해외법인 매출에는 수출도 포함돼 사실상 '해외매...",https://n.news.naver.com/article/newspaper/009/0005605794?date=20251215,업계,0.86338403,1
한국경제,中 밀어내기 물량에 수출 절벽…'K스틸' 내년 분수령,"한경Aicel 분석…4분기 철강재 수출 현황철강 수출 5년만에 최악한국의 철강 수출이 5년 만에 최악의 실적을 기록할 전망이다. 글로벌 건설 경기 침체에 보호무역 강화가 겹친 탓이다.14일 한경에이셀(Aicel)에 따르면 철강 수출금액은 올 들어 이달 10일까지 246억4200만달러(약 36조4000억원)를 기록해 작년 동기 대비 7.4% 줄었다. 팬데믹 수요 절벽이 발생한 2020년 후 가장 작은 규모다. 정부의 저가 수입 철강 차단 및 ‘K스틸법’(철강산업 경쟁력 강화 및 탄소중립 전환을 위한 특별법) 등 덕분에 내수는 버티겠지만 수출 경쟁력은 쉽게 회복하기 어려울 것이란 우려가 많다.12분기 만에 수출 감소폭 최대…증권가 ""업황 더 나빠지진 않아""국내 철강업체들의 수출 부진이 심화하고 있다. 과잉생산을...",https://n.news.naver.com/article/newspaper/015/0005224203?date=20251215,경영,0.819613118,1
한국경제,[단독] 여천NCC 3공장 폐쇄…에틸렌 47만t 줄 듯,"한화·DL, 석화 사업재편 동참정부 ""롯데·여천 통폐합 추진""여천NCC가 전남 여수 석유화학단지 내 연간 47만t 규모의 에틸렌 생산용 나프타분해설비(NCC)를 폐쇄하기로 했다. 여천NCC 공동 주주인 한화솔루션과 DL케미칼의 갈등이 일단락돼 사업 재편에 속도가 붙기 시작했다. 정부는 생산량을 줄인 여천NCC와 여수 롯데케미칼 공장(123만t)을 통합하는 방안도 추진할 계획이다.14일 산업계와 금융당국 등에 따르면 한화솔루션과 DL케미칼은 일시적으로 가동을 중단한 여수 3공장을 없애는 데 뜻을 모았다. 정부가 추진하는 자율적 사업 재편에 동참하기 위해서다. 이 공장이 문을 닫으면 ‘석유화학 사업 재편’ 신호탄을 쏘아 올린 충남 대산 롯데케미칼 공장(110만t)을 더해 국내 에틸렌 생산량은 총 157만t 줄어...",https://n.news.naver.com/article/newspaper/015/0005224209?date=20251215,업계,0.808933193,1
한국경제,"""판 뒤집는다""…SK온, 20조 프로젝트 승부수에 업계 '초긴장'","""ESS 시장 판 뒤집는다""…SK온, LFP 배터리 생산서산공장 생산라인 전환 결정연간 3GWh 규모 '국내 최대'20조 공공 프로젝트 승부수SK온이 연간 3GWh(기가와트시)의 에너지저장장치(ESS)용 리튬·인산철(LFP) 배터리를 생산할 수 있는 시설을 국내에 짓기로 했다. SK온의 국내 첫 LFP 배터리 생산시설로, 국내 최대 규모다. LFP 후발 주자인 SK온이 국내 ESS 시장을 선점하기 위해 ‘승부수’를 띄웠다는 분석이 나온다.14일 업계에 따르면 SK온은 충남 서산 배터리 공장에 증설 중인 전기자동차용 삼원계 배터리 생산시설을 ESS 전용 LFP 생산라인으로 전환하기로 최근 결정했다. 시설이 완공되면 연간 3GWh 규모의 배터리를 생산한다. 대형 인공지능(AI) 데이터센터 40~50곳에 ESS를...",https://n.news.naver.com/article/newspaper/015/0005224207?date=20251215,업계,0.797196857,1
한국경제,北 감시할 고성능 위성 열쇠는 '센서 반도체',"우주청, 10㎝ 위성 개발 도전광학 위성 해상도 높이려면차세대 CCD 반도체 확보해야우주 관련 법 제도 정비 시급각종 보안 규제에 업계 한숨우주항공청이 지난 12일 업무보고에서 ‘10㎝급’ 초고해상도 광학위성 개발을 중장기 과제로 명시하면서 관련 기술 확보가 방위산업계의 과제로 떠올랐다. 해상도는 북한 등 한반도 주변의 군사 활동을 정찰·관측하는 위성 내 핵심 기술이다. 센서 반도체 국산화 여부가 초고해상도 위성 기술 자립의 관건이 될 전망이다.◇이미지 센서가 가른다우주청은 10㎝급 초고해상도 광학위성을 2029년까지 개발하겠다고 밝혔다. 사업비 445억원을 배정해 내년부터 개발한다. 10㎝급 위성은 우주에서 스마트폰 크기의 물체를 식별할 수 있는 수준이다. 글로벌 위성 시장에서 최고 해상도는 10~20㎝ ...",https://n.news.naver.com/article/newspaper/015/0005224198?date=20251215,기타,0.7681486,
매일경제,대형SUV 시장 '벌크업' 헤비급 경쟁 펼쳐진다,"올 국내 판매량 1년새 59% 쑥공간 활용성 높아져 인기몰이팰리세이드, SUV시장 이끌어아이오닉9·EV9 가파른 성장세캐딜락 에스컬레이드 IQ·BMW iX벤츠 GLC 등 수입차도 韓 공략국내 자동차 시장에서 실용성과 넓은 공간을 내세운 대형차 전쟁이 펼쳐지고 있다. 현대차 팰리세이드와 제네시스 GV80, 기아 EV9 등이 견고한 판매 흐름을 이어가는 가운데 '대형 스포츠유틸리티차량(SUV) 전쟁'의 주도권을 탈환하기 위한 글로벌 자동차 브랜드들의 공세로 경쟁이 한층 가열되는 모습이다.올해 1~10월 국내 대형 SUV 판매량은 총 8만5824대로 전년 동기 대비 59% 급증했다. 특히 현대차·기아의 존재감이 두드러진다. 현대차 팰리세이드는 구형(LX2) 1403대, 신형(LX3) 4만8764대를 기록해 총 5...",https://n.news.naver.com/article/newspaper/009/0005605746?date=20251215,업계,0.730056689,
매일경제,G20 무역규제 '역대최대'…1년새 74% 급증,"WTO ""수입규제 185건 늘어""전세계 너도나도 관세 올리자수입 제한된 상품 규모 4조弗내년엔 탄소·철강규제 줄줄이수출기업 많은 韓 타격 불가피최근 1년간 주요 20개국(G20)이 새로 도입한 무역 관련 규제가 역대 최고 수준인 것으로 나타났다. 규제 영향을 받은 상품 가치만 무려 4조1015억달러(약 6040조원)에 달하는 것으로 나타났다. 미국발 관세 인상과 보호무역주의 확산으로 각국이 자국 산업 보호에 골몰한 탓이다. 특히 내년에는 유럽연합(EU)의 탄소국경조정제도(CBAM), 철강 무관세 수입 쿼터 제한 등 한국 기업에 큰 영향을 줄 규제들이 줄줄이 기다리고 있다.14일 세계무역기구(WTO)가 G20의 최근 1년간 무역 현황을 모니터링한 보고서에 따르면, 지난해 10월 이후 올 10월까지 1년간 각국...",https://n.news.naver.com/article/newspaper/009/0005605835?date=20251215,경영,0.72021526,
